score,open_hours_week,binned_score,coded_size,coded_review_counts,coded_price,num_photos,is_bus_web,is_phone_number,is_message_bus,num_attributes,num_questions,polarity,subjectivity,binned_score_y
4.0,65.9294813466788,medium,2,1296.0,2,2054.0,0,1,0,27.0,53.0,0.2141135134347804,0.5693332559848395,1
4.5,60.0,high,0,355.0,1,308.0,1,1,0,24.0,2.0,0.25174723424723416,0.6171572871572872,2
4.5,66.0,high,1,1391.0,1,2300.0,1,1,0,24.0,11.0,0.24681051587301586,0.5197059884559887,2
1.5,77.0,high,0,60.0,1,38.0,1,1,0,4.0,0.0,0.03216794569067298,0.599665158074249,2
4.0,65.9294813466788,high,2,4853.0,1,4512.0,1,1,0,30.0,18.0,0.2911205388603646,0.5690203809971252,2
4.0,84.0,high,1,662.0,1,686.0,1,1,0,25.0,9.0,0.2301313025210083,0.5655034609997844,2
4.0,31.5,high,2,1496.0,2,3685.0,1,1,0,30.0,72.0,0.2819557120368808,0.5574066421793693,2
4.0,65.9294813466788,high,0,831.0,0,287.0,1,1,0,24.0,0.0,0.18628563082854138,0.5124564697325892,2
4.0,98.0,high,0,66.0,1,108.0,1,1,0,18.0,0.0,0.2794325912183055,0.5330752536704917,2
4.0,98.0,high,0,66.0,1,108.0,1,1,0,18.0,0.0,0.2794325912183055,0.5330752536704917,2
3.5,96.0,high,0,82.0,1,84.0,1,1,0,17.0,0.0,0.0926756319811875,0.4761948853615519,2
4.5,56.0,high,0,441.0,0,243.0,1,1,0,17.0,4.0,0.21636521054702867,0.5196646989374264,2
3.5,65.9294813466788,high,0,25.0,1,30.0,0,1,0,5.0,0.0,0.12025964187327827,0.5373004722550175,2
3.5,65.9294813466788,high,0,25.0,1,30.0,0,1,0,5.0,0.0,0.12025964187327827,0.5373004722550175,2
4.5,94.5,high,0,3204.0,1,1784.0,1,1,1,33.0,0.0,0.21490353254051883,0.6662342984260792,2
4.5,72.0,high,0,1123.0,1,830.0,1,1,0,25.0,11.0,0.2850110337610338,0.5684734734734735,2
3.0,65.9294813466788,medium,2,1005.0,2,637.0,1,1,0,20.0,8.0,0.09069628394132967,0.5409262485481997,1
4.0,115.5,high,0,669.7657657657658,1,0.0,0,1,0,21.333842627960276,0.0,0.0,0.0,2
4.0,115.5,high,0,669.7657657657658,1,0.0,0,1,0,21.333842627960276,0.0,0.0,0.0,2
3.5,65.9294813466788,high,1,10.0,0,13.0,0,1,0,8.0,0.0,0.14449321424004974,0.47965167041116413,2
4.5,42.0,high,2,7234.0,2,22690.0,1,1,0,35.0,98.0,0.3200439605329311,0.5773300294476761,2
4.5,65.9294813466788,high,1,761.0,1,692.0,0,1,0,15.0,0.0,0.14332190046205198,0.48073556634162706,2
4.5,5.0,high,0,59.0,1,9.0,1,1,0,15.0,0.0,0.21742195597829397,0.5523281100745889,2
4.5,58.5,high,0,272.0,0,266.0,1,1,1,20.0,4.0,0.38183340097402607,0.5667906746031744,2
4.0,65.9294813466788,medium,2,872.0,1,1147.0,1,1,0,32.0,12.0,0.20950888467481382,0.6135903919089762,1
3.5,56.0,high,2,236.0,1,351.0,1,1,0,21.0,0.0,0.1518658407848981,0.579300558275968,2
4.0,127.75,high,1,398.0,0,291.0,0,1,0,27.0,13.0,0.2908567290552585,0.5634150326797386,2
3.5,64.0,high,2,398.0,1,243.0,1,0,0,23.0,4.0,0.11813650013650019,0.5694415584415584,2
4.0,56.0,high,0,948.0,1,1259.0,1,1,1,29.0,10.0,0.28941789425602377,0.5445747577761966,2
4.0,65.9294813466788,medium,0,2174.0,1,3721.0,1,1,0,23.0,16.0,0.19129734848484845,0.6145027657527657,1
4.0,65.9294813466788,high,0,2174.0,1,3700.0,1,1,0,23.0,16.0,0.19129734848484845,0.6145027657527657,2
4.0,83.5,high,2,1026.0,1,388.0,1,1,0,22.0,2.0,0.03942798331453795,0.63934155480374,2
4.0,63.0,high,0,647.0,1,762.0,0,1,0,18.0,5.0,0.20036234796949084,0.5568390022675738,2
4.5,72.5,high,1,221.0,0,218.0,1,1,0,16.0,0.0,0.23701986196863248,0.5434447519693422,2
4.5,72.5,high,1,221.0,0,218.0,1,1,0,16.0,0.0,0.23701986196863248,0.5434447519693422,2
4.0,67.5,high,0,788.0,1,781.0,1,1,0,28.0,2.0,0.22057011440940014,0.5659894867037721,2
4.5,65.9294813466788,high,1,321.0,1,296.0,1,1,1,25.0,18.0,0.24352398170011816,0.6038459621186896,2
4.0,42.0,high,0,370.0,0,214.0,1,1,1,29.0,0.0,0.22182227867711737,0.5198635892184281,2
3.5,55.5,high,1,870.0,1,339.0,1,1,0,32.0,0.0,0.20552670123477093,0.5886711372312637,2
4.0,42.0,medium,1,1082.0,1,1491.0,1,1,0,34.0,16.0,0.11060869366903849,0.49367474001094697,1
4.0,71.5,high,2,2766.0,1,2422.0,1,1,0,34.0,23.0,0.26966739917866384,0.6025734730385892,2
4.0,66.5,high,0,189.0,1,256.0,1,1,1,18.0,4.0,0.11948762175324676,0.5955367852633476,2
4.0,72.0,high,0,263.0,0,373.0,1,1,0,28.0,0.0,0.19507284192215704,0.5215666449228094,2
3.0,65.9294813466788,high,0,432.0,1,284.0,1,1,1,20.0,0.0,0.22297234010630998,0.6053772290809328,2
4.0,52.0,high,1,165.0,0,91.0,1,1,0,21.0,0.0,0.24698669386169383,0.5186008436008437,2
4.0,58.0,high,1,661.0,1,1095.0,1,1,1,24.0,6.0,0.18339632589632585,0.5451755189255189,2
3.5,65.9294813466788,high,1,560.0,1,798.0,1,1,1,33.0,5.0,0.2973677248677249,0.534375,2
5.0,5.0,high,0,73.0,1,1248.0,1,1,0,11.0,5.0,0.2349744984906028,0.5660629077806992,2
3.5,76.0,high,1,288.0,1,205.0,1,1,0,25.0,0.0,0.235022986655218,0.5754452434617725,2
4.0,76.0,high,1,1072.0,1,1341.0,1,1,0,36.0,8.0,0.30216455470096254,0.5036153490522421,2
3.5,94.0,high,0,56.0,0,32.0,1,1,1,14.0,0.0,0.13674363533292097,0.5170637497423215,2
4.5,50.5,high,1,66.0,1,125.0,0,1,0,22.0,0.0,0.3013547925954644,0.5993779748443926,2
4.0,80.5,high,0,326.0,0,365.0,1,1,0,20.0,0.0,0.23157560032560026,0.5645807895807897,2
3.5,65.9294813466788,medium,1,1477.0,1,1046.0,1,1,0,32.0,0.0,0.1525347222222222,0.5702242243051067,1
3.5,65.9294813466788,high,1,3606.0,1,2591.0,1,1,1,34.0,8.0,0.2229634353741496,0.6305865166579452,2
4.5,49.0,high,0,321.0,1,370.0,1,1,0,19.0,4.0,0.2613423295454545,0.5891916937229436,2
4.5,35.0,high,0,91.0,0,116.0,1,1,1,28.0,0.0,0.2593512380751964,0.5610622974908688,2
4.0,53.0,high,0,146.0,0,83.0,1,1,0,29.0,0.0,0.29621445581493044,0.5704905291614151,2
4.0,69.0,high,0,302.0,1,237.0,1,1,0,21.0,0.0,0.3552011994949495,0.6064979797979796,2
4.5,40.0,high,0,47.0,0,86.0,1,1,0,24.0,3.0,0.2485731764548136,0.517115848753017,2
3.5,46.0,medium,0,496.0,1,269.0,1,1,0,19.0,0.0,0.10752594627594628,0.5590109890109892,1
4.5,80.5,high,0,443.0,1,806.0,1,1,1,33.0,7.0,0.22065217391304348,0.5014492753623189,2
2.5,65.9294813466788,high,0,192.0,1,170.0,1,1,0,17.0,0.0,0.1556095811818703,0.5599552973799963,2
3.0,84.0,medium,2,1354.0,1,1000.0,1,1,0,24.0,9.0,0.3945210227272727,0.583890909090909,1
2.5,65.9294813466788,high,2,668.0,1,364.0,1,1,0,23.0,3.0,0.05592187340218838,0.499197770733204,2
4.5,65.0,high,0,431.0,1,703.0,1,1,1,31.0,0.0,0.223739525000993,0.5925042032381482,2
4.5,65.0,high,0,431.0,1,703.0,1,1,1,31.0,0.0,0.223739525000993,0.5925042032381482,2
4.5,65.9294813466788,high,2,3550.0,2,2299.0,1,1,0,30.0,75.0,0.23338314296145612,0.5654309010935513,2
4.0,72.0,high,0,1242.0,0,2576.0,1,1,0,12.0,8.0,0.18360381652661073,0.5582382119514473,2
3.5,65.9294813466788,high,0,43.0,0,50.0,0,1,0,15.0,0.0,0.027411193457705096,0.5649819689354574,2
3.5,65.9294813466788,high,2,169.0,1,156.0,1,1,0,30.0,7.0,0.24790253727753722,0.5682275132275132,2
4.0,54.0,medium,0,574.0,1,455.0,1,1,1,35.0,4.0,0.20554861111111108,0.5130517399267399,1
4.0,65.9294813466788,high,1,669.7657657657658,1,6.0,0,1,0,21.333842627960276,0.0,0.0,0.0,2
4.0,65.9294813466788,high,0,669.7657657657658,1,6.0,0,1,0,21.333842627960276,0.0,0.0,0.0,2
4.0,65.9294813466788,high,2,669.7657657657658,1,6.0,0,1,0,21.333842627960276,0.0,0.0,0.0,2
4.0,66.5,high,0,251.0,0,132.0,1,1,0,26.0,0.0,0.1550443510737628,0.6300793650793653,2
4.0,65.9294813466788,high,2,919.0,2,2397.0,1,1,0,27.0,11.0,0.192181977566593,0.5731338556979583,2
3.5,65.9294813466788,high,2,612.0,1,332.0,1,1,1,20.0,9.0,0.3112360491071429,0.54421839569161,2
4.0,32.5,high,2,1785.0,3,3180.0,1,1,0,29.0,3.0,0.32956493950422056,0.587888303406438,2
3.5,65.9294813466788,high,2,1158.0,1,1158.0,1,1,1,36.0,5.0,0.255329273843082,0.4995845078693915,2
4.5,70.0,high,1,356.0,1,336.0,1,1,0,27.0,0.0,0.3173172433035714,0.5695820932539682,2
2.5,22.0,high,2,70.0,1,108.0,1,1,0,16.0,0.0,0.026124450484915598,0.5500449120216563,2
4.0,23.5,high,2,1518.0,2,1150.0,1,1,0,26.0,11.0,0.33097399025616847,0.5609225208235107,2
